Date,Day,5p,6p,7p,8p,9p,10p
2017-07-27,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-07-28,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,Richard Engel on Assignment,The Last Word With Lawrence O'Donnell
2017-07-29,Saturday,MSNBC Live,MSNBC Joy Reid,All In With Chris Hayes,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-07-30,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Richard Engel on Assignment,Dateline Extra,
2017-07-31,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-01,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-02,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-03,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-04,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-05,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-08-06,Sunday,MSNBC Live,MSNBC Live,Meet the Press,Dateline Extra,,
2017-08-07,Monday,MTP Daily,For the Record With Greta,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-08,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-09,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-10,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-11,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-12,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-08-13,Sunday,MSNBC Live,MSNBC Live,Meet the Press,MSNBC Joy Reid,,
2017-08-14,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-15,Tuesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-16,Wednesday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-17,Thursday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-18,Friday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
2017-08-19,Saturday,MSNBC Live,MSNBC Joy Reid,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell,The 11th Hour With Brian Williams,
2017-08-20,Sunday,MSNBC Live,MSNBC Live,Meet the Press,,,
2017-08-21,Monday,MTP Daily,The Beat With Ari Melber,Hardball With Chris Matthews,All In With Chris Hayes,The Rachel Maddow Show,The Last Word With Lawrence O'Donnell
