Date,Day,5p,6p,7p,8p,9p,10p
2018-02-22,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-23,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-24,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-02-25,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,
2018-02-26,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-27,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-02-28,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-01,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-02,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-03,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-03-04,Sunday,The Greg Gutfeld Show,Fox Report Sunday,,,The Next Revolution With Steve Hilton,
2018-03-05,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-06,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-07,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-08,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-09,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-10,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,,The Greg Gutfeld Show
2018-03-11,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,
2018-03-12,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-13,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-14,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-15,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-16,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-17,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-03-18,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-03-19,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-20,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-21,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-22,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-23,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-24,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-03-25,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-03-26,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-27,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-28,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-29,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-30,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-03-31,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-04-01,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-04-02,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-03,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-04,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-05,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-06,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-07,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-04-08,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-04-09,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-10,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-11,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-12,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-13,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-14,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-04-15,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,,The Next Revolution With Steve Hilton,
2018-04-16,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-17,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-18,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-19,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-20,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-21,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-04-22,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-04-23,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-24,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-25,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-26,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-27,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-04-28,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-04-29,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-04-30,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-01,Tuesday,The Five,America's Election Headquarters,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-02,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-03,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-04,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-05,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-05-06,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-05-07,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-08,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-09,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-10,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-11,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-12,Saturday,America's News HQ (2 hours),,Fox Report Saturday,The Greg Gutfeld Show,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-05-13,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-05-14,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-15,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-16,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-17,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-18,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-19,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-05-20,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-05-21,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-22,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-23,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-24,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-25,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-26,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-05-27,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-05-28,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-29,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-30,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-05-31,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-01,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-02,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-06-03,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-06-04,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-05,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-06,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-07,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-08,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-09,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-06-10,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-06-11,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-12,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-13,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-14,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-15,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-16,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-06-17,Sunday,The Greg Gutfeld Show,Fox Report Sunday,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-06-18,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-19,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-20,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-21,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-22,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-23,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-06-24,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-06-25,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-26,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-27,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-28,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-29,Friday,,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-06-30,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-07-01,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-07-02,Monday,The Five,Special Report With Bret Baier,,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-03,Tuesday,The Five,Special Report With Bret Baier,,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-04,Wednesday,The Five,Special Report With Bret Baier,,Tucker Carlson Tonight,Hannity,
2018-07-05,Thursday,The Five,Special Report With Bret Baier,,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-06,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-07,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-07-08,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-07-09,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-10,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-11,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-12,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-13,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-14,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-07-15,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-07-16,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-17,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-18,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-19,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-20,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-21,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-07-22,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-07-23,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-24,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-25,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-26,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-27,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-28,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-07-29,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-07-30,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-07-31,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-01,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-02,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-03,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-04,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-08-05,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-08-06,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-07,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-08,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-09,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-10,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-11,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-08-12,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-08-13,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-14,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-15,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-16,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-17,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-18,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-08-19,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-08-20,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-21,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-22,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-23,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-24,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-25,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-08-26,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-08-27,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-28,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-29,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-30,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-08-31,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-01,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-09-02,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
2018-09-03,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-04,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-05,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-06,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-07,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-08,Saturday,America's News HQ (2 hours),,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-09-09,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,The Ingraham Angle,The Next Revolution With Steve Hilton,
2018-09-10,Monday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-11,Tuesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-12,Wednesday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-13,Thursday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-14,Friday,The Five,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,Hannity,The Ingraham Angle
2018-09-15,Saturday,America's News HQ,,,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2018-09-16,Sunday,The Greg Gutfeld Show,,Fox News Sunday With Chris Wallace,,The Next Revolution With Steve Hilton,
