Date,Day,5p,6p,7p,8p,9p,10p
2017-08-20,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,Watters' World,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-08-21,Monday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-22,Tuesday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-23,Wednesday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-24,Thursday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-25,Friday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-26,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-08-27,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,Watters' World,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-08-28,Monday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-29,Tuesday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-30,Wednesday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-08-31,Thursday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-01,Friday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-02,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-09-03,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,Watters' World,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-09-04,Monday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-05,Tuesday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-06,Wednesday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-07,Thursday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-08,Friday,The Fox News Specialists,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-09,Saturday,America's News HQ (2 hours),,Fox Report Saturday,Watters' World,Justice With Judge Jeanine,The Greg Gutfeld Show
2017-09-10,Sunday,The Greg Gutfeld Show,America's News HQ,Fox Report Sunday,Watters' World,The Next Revolution With Steve Hilton,Fox News Sunday With Chris Wallace
2017-09-11,Monday,Shepard Smith Reporting,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-12,Tuesday,Shepard Smith Reporting,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
2017-09-13,Wednesday,Shepard Smith Reporting,Special Report With Bret Baier,The Story With Martha MacCallum,Tucker Carlson Tonight,The Five,Hannity
